metric_group,name,count
recipe_kind_guess,complete_main,81
recipe_kind_guess,near_complete_main,37
recipe_kind_guess,soup,25
recipe_kind_guess,breakfast,20
recipe_kind_guess,salad,12
recipe_kind_guess,snack,10
recipe_kind_guess,protein_component,5
recipe_kind_guess,carb_side,5
recipe_kind_guess,veg_side,5
primary_protein,beef,36
primary_protein,chicken,36
primary_protein,vegetarian,31
primary_protein,egg,31
primary_protein,pork,25
primary_protein,fish,21
primary_protein,turkey,10
primary_protein,unknown,10
selection_reason,main_complete_or_near_complete,155
selection_reason,breakfast_target_bucket,20
selection_reason,minority_component_support_bucket,15
selection_reason,small_clean_snack_bucket,10
meal_structure,complete_or_near_complete_meal,155
meal_structure,breakfast,20
meal_structure,component_or_side,15
meal_structure,snack,10
mapping_difficulty,medium,190
mapping_difficulty,low,10
